chunk_id,source,chunk_index,text
valve_0000,01_Maintenance_Manual.docx,0,"01. 선박 배관용 밸브 음향기반 정비매뉴얼 Maintenance Manual for Valve Acoustic Condition Monitoring 작성 목적: 2주차 데이터 정제 및 분석 결과를 3주차 Vector DB 구축과 RAG 구현에 연결하기 위한 제출용 산출물 1. 문서 개요 본 정비매뉴얼은 선박 배관 계통에 설치된 밸브의 예방정비, 상태진단 및 음향 기반 이상탐지를 수행하기 위한 기술문서이다. 데이터 기반 판정기준은 Valve Dataset의 WAV 파일 4,170개에서 추출한 RMS, Dominant Frequency, Spectral Centroid 통계값을 근거로 설정하였다. 2. 적용 범위 Ball Valve, Gate Valve, Globe Valve, Butterfly Valve, Check Valve Sea Water, Fresh Water, Air, N2, Hydraulic Oil 등 일반 선박 배관 유체 정상 운전음과 이상음의 상대적 변화를 활용하는 상태감시 업무 RAG 시스템에 투입할 정비 지식문서의 원천 자료 3. 밸브 주요 구성품 및 고장모드 4. 예방정비 주기 5. 데이터셋 기반 상태판정 기준 상태판정은 절대 규격값이 아니라 본 데이터셋의 평균(μ)과 표준편차(σ)를 이용한 Z-Score 기반 기준으로 설정하였다. 이는 설비별 Baseline을 확보한 후 변화율을 판단하는 상태감시 방식에 적합하다. 6. 상태별 정비 방침 그림 1. RMS Energy Distribution 그림 2. Dominant Frequency Distribution 그림 3. Spectral Centroid vs RMS Scatter 7. 정비 후 확인사항 정비 전후 RMS 감소 여부 확인 FFT Peak 신규 발생 또는 소멸 여부 확인 Spectral Centroid가"
valve_0001,01_Maintenance_Manual.docx,1,"Dominant Frequency Distribution 그림 3. Spectral Centroid vs RMS Scatter 7. 정비 후 확인사항 정비 전후 RMS 감소 여부 확인 FFT Peak 신규 발생 또는 소멸 여부 확인 Spectral Centroid가 Baseline 영역으로 복귀했는지 확인 Leak Test 또는 압력 유지 시험 결과 기록 정비 이력 및 분석 파일을 Vector DB 업데이트 후보 문서로 저장 8. 참고 기준 및 출처 Valve Dataset 분석 결과: 4,170개 WAV, 16 kHz, 8 Channel, 10 sec ISO 17359: Condition monitoring and diagnostics of machines ISO 13374: Condition monitoring data processing ISO 20816: Mechanical vibration evaluation MIMII Dataset 방법론: 산업기계 음향 이상탐지 공개 데이터셋 구성품 | 역할 | 주요 고장모드 | 대표 음향 징후 Body | 유체 통로 형성 | 부식, 균열 | 저주파 진동 증가 Seat | 밀폐 유지 | 마모, 이물질 끼임 | RMS 증가, 고주파 누설음 Stem | 개폐력 전달 | 마모, 편심 | 주기적 충격음 Packing | Stem 누설 방지 | 노화, 체결력 저하 | Spectral Centroid 증가 Actuator | 자동 개폐 | 기어 마모, 제어 불량 | 반복 충격음, Peak 증가 구분 | 주기 | 점검 내용 | 기록 항목 일상점검 | 매일 | 누설, 소음, 외관 이상 여부 | 운전압력, 온도, 육안 이상 정기점검 | 월 1회 | 음향/진동 측정 및 추세 확인 | RMS, Dominant Frequency, Centroid 예방정비 |"
valve_0002,01_Maintenance_Manual.docx,2,"ak 증가 구분 | 주기 | 점검 내용 | 기록 항목 일상점검 | 매일 | 누설, 소음, 외관 이상 여부 | 운전압력, 온도, 육안 이상 정기점검 | 월 1회 | 음향/진동 측정 및 추세 확인 | RMS, Dominant Frequency, Centroid 예방정비 | 6개월 | Packing 체결, Seat 상태 확인 | 분해점검 결과, 교체 부품 정밀진단 | 연 1회 | FFT/MFCC 상세 분석, Trend 비교 | 분석 리포트, 조치 이력 Feature | 평균 μ | 표준편차 σ | NORMAL | WARNING | ALERT | DANGER RMS | 0.076646 | 0.020819 | < 0.097 | 0.097~0.118 | 0.118~0.139 | >= 0.139 Dominant Frequency(Hz) | 209.208 | 240.763 | < 450.0 | 450.0~690.7 | 690.7~931.5 | >= 931.5 Spectral Centroid(Hz) | 2469.165 | 352.710 | < 2821.9 | 2821.9~3174.6 | 3174.6~3527.3 | >= 3527.3 상태 | 정비 방침 | 현장 조치 NORMAL | 정상 운전 유지 | 월별 추세 데이터 누적 WARNING | 모니터링 강화 | 재측정, 운전조건 확인, 체결부 점검 ALERT | 계획정비 수립 | 밸브 분해점검 계획, Packing/Seat 예비품 확인 DANGER | 즉시 정비 또는 운전 제한 | 안전조치, 격리, 누설점검, 필요 시 밸브 교체"
valve_0003,02_Trouble_Guide.docx,0,"02. Valve Trouble Shooting Guide 고장 증상-원인-조치 중심 RAG 핵심 지식문서 작성 목적: 2주차 데이터 정제 및 분석 결과를 3주차 Vector DB 구축과 RAG 구현에 연결하기 위한 제출용 산출물 1. 활용 목적 Trouble Shooting Guide는 RAG 검색에서 가장 직접적으로 활용되는 문서이다. 사용자가 “RMS가 높고 고주파 Peak가 있습니다”와 같이 질문하면, 본 문서의 증상-원인-조치 구조가 검색되어 LLM 답변의 근거가 된다. Seat Leakage Packing Leakage Cavitation Bearing 또는 Actuator Wear Loose Fastener / Mounting Issue Foreign Object / Debris 2. 증상 기반 빠른 판정표 3. 상태별 의사결정 규칙 그림 1. Frequency Band Energy Distribution 그림 2. FFT Spectrum 구분 | 내용 대표 증상 | RMS 증가, 고주파 누설음, 압력 저하 가능 원인 | Seat 마모, 이물질 유입, 디스크 손상 권장 조치 | 배관 격리 → 압력 제거 → 밸브 분해 → Seat 점검/세척 → 필요 시 교체 → 재조립 → Leak Test RAG 검색 키워드 | Seat Leakage, RMS, FFT Peak, valve noise, maintenance 구분 | 내용 대표 증상 | Stem 부위 누설, Centroid 증가, 미세 누설음 가능 원인 | Packing 노화, Gland 체결력 부족, Stem 표면 손상 권장 조치 | Gland 체결 토크 확인 → Packing 교체 → Stem 표면 검사 → 재측정 RAG 검색 키워드 | Packing Leakage, RMS, FFT Peak, valve noise, ma"
valve_0004,02_Trouble_Guide.docx,1,"cking 노화, Gland 체결력 부족, Stem 표면 손상 권장 조치 | Gland 체결 토크 확인 → Packing 교체 → Stem 표면 검사 → 재측정 RAG 검색 키워드 | Packing Leakage, RMS, FFT Peak, valve noise, maintenance 구분 | 내용 대표 증상 | 자갈 튀는 소리, FFT Peak 증가, 진동 증가 가능 원인 | 과도한 압력강하, 밸브 개도 조건 부적절, 유속 과다 권장 조치 | 운전압력/개도 조건 조정 → 밸브 선정 재검토 → 배관 조건 확인 RAG 검색 키워드 | Cavitation, RMS, FFT Peak, valve noise, maintenance 구분 | 내용 대표 증상 | 주기적 충격음, 반복 Peak 발생, Crest Factor 증가 가능 원인 | 베어링 마모, 기어 백래시, 윤활 부족 권장 조치 | 윤활 상태 확인 → 기어/베어링 점검 → 마모품 교체 RAG 검색 키워드 | Bearing 또는 Actuator Wear, RMS, FFT Peak, valve noise, maintenance 구분 | 내용 대표 증상 | 저주파 진동 증가, 구조물 공진, 반복 충격 가능 원인 | 체결 불량, 지지대 느슨함, 배관 Support 문제 권장 조치 | 볼트 체결 확인 → Support 보강 → 재측정 RAG 검색 키워드 | Loose Fastener / Mounting Issue, RMS, FFT Peak, valve noise, maintenance 구분 | 내용 대표 증상 | 간헐적 충격음, 불규칙 Peak 가능 원인 | 이물질 유입, 필터 파손 권장 조치 | 라인 Flush → Strainer 확인 → 내부 세척 RAG 검색 키워드 | Foreign Object / Debris, RMS, FFT Peak"
valve_0005,02_Trouble_Guide.docx,2,"nce 구분 | 내용 대표 증상 | 간헐적 충격음, 불규칙 Peak 가능 원인 | 이물질 유입, 필터 파손 권장 조치 | 라인 Flush → Strainer 확인 → 내부 세척 RAG 검색 키워드 | Foreign Object / Debris, RMS, FFT Peak, valve noise, maintenance 관측 증상 | 우선 의심 고장 | 확인 Feature | 초기 조치 RMS 단독 증가 | 누설 또는 충격음 증가 | RMS, Peak | 재측정 후 누설 확인 Dominant Frequency 급증 | 충격/마찰/구조 진동 | FFT Peak | 체결부 및 지지대 점검 Spectral Centroid 증가 | 고주파 누설 | Centroid, MFCC | Packing/Seat 점검 RMS+Centroid 동시 증가 | 미세누설 가능성 | RMS, Centroid | Leak Test, 운전조건 확인 Crest Factor 증가 | 충격성 이상음 | Peak, Crest Factor | Actuator/Bearing 점검 판정 | 조건 | 권장 의사결정 NORMAL | 모든 Feature가 μ+1σ 이하 | 정상 운전, 추세 기록 WARNING | 1개 이상 μ+1σ 초과 | 동일 조건에서 재측정, 모니터링 주기 단축 ALERT | 1개 이상 μ+2σ 초과 | 계획정비 및 부품 준비 DANGER | 1개 이상 μ+3σ 초과 | 안전조치 후 즉시 점검/정비"
valve_0006,03_Inspection_Procedure.docx,0,"03. Valve 음향진단 점검절차서 Inspection Procedure for Acoustic Condition Monitoring 작성 목적: 2주차 데이터 정제 및 분석 결과를 3주차 Vector DB 구축과 RAG 구현에 연결하기 위한 제출용 산출물 1. 목적 본 절차서는 선박 배관 밸브의 음향 데이터를 일관된 방식으로 취득, 정제, 분석, 판정 및 기록하기 위한 표준 작업절차서이다. 2. 준비물 3. 표준 점검 절차 설비 정보 기록: Valve ID, 위치, 밸브 종류, 유체, 압력, 온도, 유량을 기록한다. 안전 확인: 고압, 고온, 가연성 유체 여부를 확인하고 필요한 경우 LOTO를 수행한다. 센서 설치: Valve Body, Inlet Pipe, Outlet Pipe 중 반복 측정 가능한 위치를 선정한다. 음향 데이터 취득: Sampling Rate 16 kHz, 측정시간 10초 이상으로 WAV 파일을 저장한다. 파일명 규칙 적용: YYYYMMDD_ValveID_Status_Channel.wav 형식으로 저장한다. 데이터 정제: Empty, NaN, Inf, Sample Rate, Channel 수, Duration을 자동 점검한다. Feature 추출: RMS, Peak, Crest Factor, Dominant Frequency, Spectral Centroid, MFCC를 산출한다. 상태판정: Z-Score 기반 NORMAL/WARNING/ALERT/DANGER를 부여한다. 정비 판단: Trouble Guide를 검색하여 원인과 조치 항목을 확인한다. 기록 및 RAG 업데이트: 점검결과, 정비조치, 원인분석을 Vector DB 후보 문서로 저장한다. 4. 현장 기록 양식 5. 분석 코드 흐름 설명 그림 1. RMS 점검 기준 그림 2. Dominant Freque"
valve_0007,03_Inspection_Procedure.docx,1,"Guide를 검색하여 원인과 조치 항목을 확인한다. 기록 및 RAG 업데이트: 점검결과, 정비조치, 원인분석을 Vector DB 후보 문서로 저장한다. 4. 현장 기록 양식 5. 분석 코드 흐름 설명 그림 1. RMS 점검 기준 그림 2. Dominant Frequency 점검 기준 구분 | 항목 | 비고 센서 | 산업용 마이크 또는 AE Sensor | 동일 위치 반복 설치 필요 보조센서 | 가속도 센서 | 진동 분석 병행 시 사용 장비 | 노트북, 데이터 수집기 | Python 분석 환경 구축 소프트웨어 | Python, NumPy, SciPy, Librosa, Pandas | Feature 추출 및 시각화 안전 | 보호구, LOTO 표지 | 고압/고온 배관 안전조치 항목 | 기록 내용 점검일시 | Valve ID | 위치/라인 번호 | 운전압력/온도/유량 | WAV 파일명 | RMS | Dominant Frequency | Spectral Centroid | 판정결과 | 조치사항 | 재측정 결과 | 단계 | Python 처리 내용 | 산출물 Metadata 생성 | WAV의 sample_rate, duration, channel, file size 추출 | valve_01_dataset_metadata.xls Cleaning 점검 | empty, NaN, Inf, max_value, channel 확인 | valve_02_cleaning_report.xls Feature 추출 | RMS, Peak, Crest Factor, Dominant Frequency, Centroid 계산 | valve_03_audio_features.xls Outlier 분석 | Z-score/IQR 기반 이상치 후보 탐지 | valve_04_outlier_report.xls 시각화 | Histogra"
valve_0008,03_Inspection_Procedure.docx,2,"ctor, Dominant Frequency, Centroid 계산 | valve_03_audio_features.xls Outlier 분석 | Z-score/IQR 기반 이상치 후보 탐지 | valve_04_outlier_report.xls 시각화 | Histogram, Scatter, FFT Spectrum 생성 | PNG 그래프"
valve_0009,04_RAG_Data_Analysis_Report.docx,0,"04. RAG 데이터 정제 및 분석 보고서 2주차 과제 제출용 데이터 분석 기술보고서 작성 목적: 2주차 데이터 정제 및 분석 결과를 3주차 Vector DB 구축과 RAG 구현에 연결하기 위한 제출용 산출물 초록 본 보고서는 Valve Dataset 4,170개 WAV 파일을 대상으로 데이터 정제 자동화, 음향 Feature 추출, 이상치 탐지, 시각화 및 RAG 구축 연계 방안을 정리한 2주차 과제 제출용 기술보고서이다. 다음 주차의 Vector DB 구축을 위해 분석 결과를 정비매뉴얼, Trouble Guide, 점검절차서로 지식화하였다. 1. 데이터셋 개요 2. 데이터 정제 결과 3. Feature 통계 분석 4. Z-Score 기반 판정기준 상태판정은 μ+1σ, μ+2σ, μ+3σ를 기준으로 NORMAL, WARNING, ALERT, DANGER로 구분하였다. 이 기준은 고정된 절대 규격이 아니라 본 데이터셋의 Baseline 통계에 근거한 상대적 상태판정 기준이다. 5. 이상치 분석 결과 Outlier Report에는 총 66개의 이상치 후보가 포함되어 있으며, 이는 전체 4170개 대비 약 1.58%이다. 이상치 후보는 단순 삭제 대상이 아니라 이상음 학습 또는 진단 기준 검토에 활용 가능한 중요 샘플이다. 6. 그래프 해석 그림 1. RMS Energy Distribution: 신호 에너지 분포와 이상치 후보 확인 RMS 분포는 대부분의 샘플이 기준 영역에 밀집되어 있으며, 우측 꼬리 영역의 샘플은 누설 또는 충격성 이상음 후보로 해석할 수 있다. 그림 2. Dominant Frequency Distribution: 주요 주파수 분포 Dominant Frequency는 밸브 동작음과 배관 진동 특성을 반영한다. 높은 주파수 영역의 샘플은 Cavitation, 마찰, 충격"
