Experiment,Query,Expected Topic,Top-k,Top Score,Average Score,Hit@1,Hit@3,Top Raw Distance,Search Query Used,Top Chunk Type,Top Source,Top Topic Metadata,Top Document Preview
Baseline: Original Chunk + Cosine,밸브에서 가스가 새요?,Gas Leakage / Pipe Leakage,3,0.4782,0.4782,True,True,0.5218233466148376,밸브에서 가스가 새요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage,"영문 검색 키워드  Gas Leakage, Pipe Leakage, Colorless Gas, Odorless Gas, Hydrogen Gas Leak, Gas Detector, Ventilation, Isolation, Emergency Shutdown, Safety Procedure    구분  RAG 지식 내용  대표 증상  - 배관 주변에서 가스 분출 또는 냄새 없는 가스 감지 - 가스 검지기 알람 - 압력 저하 - 누설음 또는 기포 발생  가능 원인  - 배관 연결부 누설 - 플랜지/가스켓 손상 - 밸브 Packing 또는"
Baseline: Original Chunk + Cosine,배관에서 누설이 발생하면 어떤 조치를 해야 하나요?,Gas Leakage / Pipe Leakage,3,0.5244,0.5244,True,True,0.47562557458877563,배관에서 누설이 발생하면 어떤 조치를 해야 하나요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage,"KB-11. Emergency Isolation / Ventilation  항목  내용  Category  Safety Procedure / New Knowledge  대표 질문  가스 누출 시 초기 조치는? 배관에서 가스가 새면 가장 먼저 무엇을 해야 하나요? 무색 가스 발생 시 안전 절차는?  한글 검색 키워드  비상 조치, 배관 격리, 환기, 가스 검지, 점화원 제거, 비상 차단, LOTO, 안전구역 설정  영문 검색 키워드  Emergency Isolation, Ventilation, Gas Detection, Gas Det"
Baseline: Original Chunk + Cosine,Seat Leakage가 발생하면 어떤 증상이 나타나나요?,Seat Leakage,3,0.5143,0.5143,True,True,0.48567938804626465,Seat Leakage가 발생하면 어떤 증상이 나타나나요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Seat Leakage | RMS | Foreign Object,"대표 질문  Seat Leakage 증상은? Seat Leakage 원인은? Seat Leakage 발생 시 조치사항은? RMS 증가와 고주파 누설음이 있으면 무엇을 점검해야 하나요? Seat 누설 검증 방법은?  한글 검색 키워드  시트 누설, Seat 마모, 이물질 유입, 디스크 손상, 고주파 누설음, 압력 저하, 누설 시험  영문 검색 키워드  Seat Leakage, Seat leak, RMS increase, High frequency leakage sound, Pressure drop, Seat wear, Foreign "
Baseline: Original Chunk + Cosine,Packing 누설이 발생했을 때 점검해야 할 항목은 무엇인가요?,Packing Leakage,3,0.6576,0.6576,True,True,0.34244072437286377,Packing 누설이 발생했을 때 점검해야 할 항목은 무엇인가요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Packing Leakage | Cavitation,Packing Leakage  Packing Leakage 조치사항은? / Stem 부위 누설 시 무엇을 점검하나요?  Cavitation  Cavitation 원인은? / 자갈 튀는 소리가 납니다.  Flange/Gasket  flange leakage / 플랜지에서 가스가 새요 / 가스켓 누설 검증 방법은?  Pipe Gas Leakage  배관에서 무색 가스가 나와요 / 가스 발생 / 배관에서 가스가 새요  Vibration/Noise  밸브 떨림 / 배관 떨림 / 배관 소리가 크다 / 밸브 소리가 크다  Bubble Test
Baseline: Original Chunk + Cosine,Cavitation이 발생하면 밸브에 어떤 문제가 생기나요?,Cavitation,3,0.5877,0.5877,True,True,0.4123256206512451,Cavitation이 발생하면 밸브에 어떤 문제가 생기나요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Cavitation | FFT Analysis,"구분  RAG 지식 내용  대표 증상  - Stem 부위 미세 누설 - Spectral Centroid 증가 - 미세 누설음 또는 고주파 성분 증가  가능 원인  - Packing 노화 - Gland 체결력 부족 - Stem 표면 손상 - 운전 중 반복 개폐에 의한 Seal 성능 저하  점검/진단 방법  1. Stem 주변 누설 흔적을 확인한다. 2. Gland 체결 상태와 체결 토크를 확인한다. 3. Stem 표면 흠집, 편심, 오염을 확인한다. 4. 음향 Feature 중 Spectral Centroid 증가 여부를 확인한다. "
Baseline: Original Chunk + Cosine,밸브 진동이 심할 때 가능한 원인은 무엇인가요?,Valve Vibration / Loose Fastener,3,0.5455,0.5455,True,True,0.4545334577560425,밸브 진동이 심할 때 가능한 원인은 무엇인가요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Valve Vibration / Loose Fastener | RMS,가능 원인  - Bearing 마모 - Actuator 기어 백래시 - 윤활 부족 - 구동부 정렬 불량  점검/진단 방법  1. Actuator 동작음을 측정한다. 2. Peak 및 Crest Factor 변화를 확인한다. 3. 윤활 상태를 확인한다. 4. 기어/베어링 마모 흔적을 점검한다.  권장 조치  1. 윤활 상태를 개선한다. 2. 기어 또는 베어링을 점검한다. 3. 마모품을 교체한다. 4. 재가동 후 반복 Peak 발생 여부를 확인한다.  정비 후 검증  - Crest Factor 감소 - 반복 충격음 소멸 - 운전 이력 
Baseline: Original Chunk + Cosine,RMS 값이 높게 측정되면 어떤 조치를 해야 하나요?,RMS,3,0.4819,0.4819,True,True,0.5180779695510864,RMS 값이 높게 측정되면 어떤 조치를 해야 하나요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,RMS,"한국어 질문과 영어 기술용어가 모두 검색되도록 한글/영문 키워드를 병기한다.  AI가 추측하지 않도록 증상, 원인, 조치, 검증 항목을 표준 형식으로 반복한다.  유사도 0.600 미만인 질문은 근거 부족으로 판단하고, 해당 질문을 DB 업데이트 후보로 저장한다.  유사도 구간  시스템 판단  권장 처리  0.800 이상  핵심 근거 문서  AI 답변 생성, 가장 유력한 문서 1개 표시  0.600~0.799  참고 근거 문서  주의 문구와 함께 참고 답변 생성  0.600 미만  근거 부족  AI 답변 생성 중단, 관련 문서 추가"
Baseline: Original Chunk + Cosine,FFT 분석은 밸브 이상 진단에 왜 필요한가요?,FFT Analysis,3,0.5442,0.5442,True,True,0.4557879567146301,FFT 분석은 밸브 이상 진단에 왜 필요한가요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Seat Leakage | Packing Leakage | Cavitation | Valve Vibration / Loose Fastener | RMS | FFT Analysis,"< 2821.9  2821.9~3174.6  3174.6~3527.3  >= 3527.3    상태  정비 방침  현장 조치  NORMAL  정상 운전 유지  월별 추세 데이터 누적  WARNING  모니터링 강화  동일 조건 재측정, 운전조건 확인, 체결부 점검  ALERT  계획정비 수립  밸브 분해점검 계획, Packing/Seat 예비품 확인  DANGER  즉시 정비 또는 운전 제한  안전조치, 격리, 누설점검, 필요 시 밸브 교체    4. 증상 기반 빠른 판정표  사용자 표현  우선 의심 고장  확인 Feature / "
Baseline: Original Chunk + Cosine,Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?,Valve Vibration / Loose Fastener,3,0.6056,0.6056,True,True,0.39436548948287964,Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Valve Vibration / Loose Fastener | RMS,가능 원인  - Bearing 마모 - Actuator 기어 백래시 - 윤활 부족 - 구동부 정렬 불량  점검/진단 방법  1. Actuator 동작음을 측정한다. 2. Peak 및 Crest Factor 변화를 확인한다. 3. 윤활 상태를 확인한다. 4. 기어/베어링 마모 흔적을 점검한다.  권장 조치  1. 윤활 상태를 개선한다. 2. 기어 또는 베어링을 점검한다. 3. 마모품을 교체한다. 4. 재가동 후 반복 Peak 발생 여부를 확인한다.  정비 후 검증  - Crest Factor 감소 - 반복 충격음 소멸 - 운전 이력 
Baseline: Original Chunk + Cosine,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,Foreign Object,3,0.5807,0.5807,True,True,0.41932064294815063,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,base_original_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Cavitation | Valve Vibration / Loose Fastener | RMS | FFT Analysis | Foreign Object,"영문 검색 키워드  Loose Fastener, Mounting Issue, Low frequency vibration, Structural resonance, Loose bolting, Pipe support issue, Valve vibration, Pipe vibration    구분  RAG 지식 내용  대표 증상  - 저주파 진동 증가 - 구조물 공진 - 반복 충격 - 밸브 또는 배관 떨림  가능 원인  - 볼트 체결 불량 - 지지대 느슨함 - 배관 Support 문제 - 공진 또는 외부 가진  점검/진단 방법  1. 밸브"
